"","County","enrl_tot","teachers","calw_pct","meal_pct","computer","testscr","comp_stu","expn_stu","str","avginc","el_pct","read_scr","math_scr"
"1","Alameda",195,10.8999996185303,0.510200023651123,2.04080009460449,67,690.799987792969,0.343589752912521,6384.9111328125,17.8899097442627,22.6900005340576,0,691.599975585938,690
"2","Marin",1642.875,91.6249995231628,2.74192495644093,9.79962489008904,238.375,680.525024414062,0.147245517000556,6158.65576171875,17.7779057025909,32.1853120326996,6.76149350777268,684.849998474121,676.200012207031
"3","Trinity",294,16.4249999523163,16.7953000068665,57.695650100708,45,676.549987792969,0.199564184993505,5827.90795898438,18.2597045898438,13.1034998893738,0,676.449981689453,676.649993896484
"4","Santa Cruz",1184.57142857143,60.5428571019854,9.89231436593192,20.9829000064305,117.714285714286,674.600001743862,0.153019030179296,5889.16720145089,19.3045539855957,20.3986622946603,9.16144364646503,677.100001743862,672.099993024554
"5","Contra Costa",2725.85714285714,137.68142754691,3.50617138934987,13.5349004247359,378.142857142857,673.578587123326,0.127417179090636,5269.44524274554,19.4108012063163,25.2656735011509,5.04676053353718,675.142865862165,672.014290945871
"6","San Mateo",3289.23529411765,174.465588850134,3.89204699107829,21.0207121933208,464.647058823529,668.991182215074,0.173384165500893,5715.44424977022,18.3134145736694,27.461051828721,15.1792744608486,669.476479923024,668.50588091682
"7","Santa Barbara",2409.27272727273,123.043634414673,3.39235449514606,30.5921000133861,223.454545454545,666.559104225852,0.10503194548867,5307.86829723011,19.8040400418368,22.7800214940851,23.3953654332594,666.563631924716,666.554548783736
"8","Nevada",951,49.5280552970039,6.00170005692376,26.0143109427558,131,666.161105685764,0.162018191483286,5560.37510850694,18.5570479498969,15.3253335952759,0.381716730693976,669.399997287326,662.922220865885
"9","Placer",1880.81818181818,90.7445463700728,6.68242723291571,24.716627034274,206.545454545455,665.931818181818,0.136188251051036,5026.35071910511,20.2550985162908,16.7774138884111,1.40820601853457,668.863625266335,663
"10","San Luis Obispo",217.5,11.3150000572205,3.15575006604195,27.7416000366211,37,665.574981689453,0.186053864657879,5058.71118164062,19.2444820404053,16.8644995689392,5.94011259078979,667.949981689453,663.199981689453
"11","Santa Clara",5931.9,288.047404098511,7.10762499794364,28.7194196373224,804.55,665.257498168945,0.152473888173699,5560.49729003906,19.8409103393555,24.0269195556641,20.9847189605236,665.355001831055,665.160000610352
"12","El Dorado",1372.9,69.4850003242493,6.72562992572784,22.605749797821,213.1,664.965002441406,0.137241113185883,5309.9673828125,19.3821900367737,15.9649000167847,1.81126361638308,668.179992675781,661.75
"13","Sonoma",984,52.7234493124074,7.61581378558586,28.0278480792868,111.344827586207,664.543105552936,0.143652723395619,5660.04606681035,18.4638640305092,17.4452892171926,11.8391836347251,667.617242221175,661.468964675377
"14","Yuba",939.5,49.2000007629395,9.40234994888306,53.4885501861572,163.5,663.975006103516,0.157327182590961,5384.86450195312,19.6182012557983,11.2269997596741,3.9879606962204,664.200012207031,663.75
"15","Lassen",565.2,28.3319995880127,11.5531001567841,34.0649394989014,57.4,661.010009765625,0.106669546663761,4944.44189453125,21.0582038879395,12.8190002441406,3.07960603237152,663.580004882813,658.440002441406
"16","Glenn",137.666666666667,6.58333333333333,7.10870011647542,46.8487663269043,16.3333333333333,660.966674804688,0.117771012087663,4363.34643554688,21.5135796864827,10.6389999389648,8.87935288747152,664.566670735677,657.366678873698
"17","San Diego",6170.28571428571,300.326666559492,10.2520143077487,40.2965046564738,727.809523809524,660.423804873512,0.129810560317267,5412.87837146577,19.8124877384731,17.4481039501372,22.19514303548,659.457144601004,661.390476771763
"18","Inyo",1510,73.3000030517578,10.2597999572754,37.1086006164551,141,659.400024414062,0.093377485871315,5189.6279296875,20.6002712249756,13.5223331451416,8.74172115325928,662.799987792969,656
"19","Shasta",936.769230769231,48.9000002054068,22.5683535429148,44.064376941094,120.307692307692,658.834618201623,0.131764525977465,5479.12030498798,19.1371816488413,12.1428571114173,1.21395064833073,660.107689490685,657.561537522536
"20","Humboldt",379.705882352941,20.5982353827533,17.8131293969996,43.8141880596385,52.7647058823529,658.014698701746,0.152539296185269,5449.52846392463,18.248532407424,12.8792938905604,1.96730911381104,664.241175034467,651.788233139936
"21","Calaveras",777,36.8499984741211,12.9886999130249,39.8487014770508,148,656.800048828125,0.190476194024086,5482.67724609375,21.0854816436768,13.2430000305176,1.15830111503601,663.400024414062,650.200012207031
"22","Tuolumne",652.166666666667,36.0966669718424,16.1295329729716,44.616366704305,89.8333333333333,655.666646321615,0.162015169858932,5408.84204101562,17.9648494720459,12.0163888931274,0.854412890970707,658.366658528646,652.966654459635
"23","Stanislaus",3006,147.213567801884,10.6850714683533,36.1710142408098,343.142857142857,654.992850167411,0.122734698333911,4855.54617745536,20.0623828342983,13.4980866568429,15.0696031706674,657.014282226562,652.971426827567
"24","Orange",8223.90909090909,386.362726384943,7.26723636280407,43.7675094604492,758.454545454545,654.318187366832,0.102300112220374,4980.17613636364,21.2034350308505,17.433481649919,27.8099787885492,652.618175159801,656.018182927912
"25","Madera",1021.8,52.0479995727539,13.8413199424744,50.2428405761719,161,653.489990234375,0.175173488259316,5587.21435546875,19.3808506011963,12.6425165176392,10.5430540561676,653.319995117188,653.659985351562
"26","Tehama",859.125,44.19500041008,17.402237534523,54.4773244857788,115.75,653.262489318848,0.137319498695433,5008.99645996094,19.5348479747772,10.5071246623993,7.31592902541161,653.162498474121,653.362480163574
"27","Siskiyou",430.222222222222,26.0244446860419,17.8948665195041,59.1877326965332,56.7777777777778,650.677781846788,0.160329976843463,6241.1806640625,15.7827502356635,11.2028147379557,1.84259725941552,653.433336046007,647.922220865885
"28","San Benito",2146.66666666667,111.3166624705,5.15503334999084,27.9364668528239,130.666666666667,650.016642252604,0.0939844064414501,5137.16682942708,18.4694627126058,13.6300001144409,16.4210077921549,649.066670735677,650.966654459635
"29","Sutter",259.166666666667,12.8216667175293,6.92050000031789,30.634717464447,53,649.941670735677,0.204559076577425,4613.04345703125,20.4962984720866,11.9840000470479,4.52903005480766,654.499989827474,645.383321126302
"30","San Bernardino",6469.7,301.234994697571,13.4456600427628,45.7163102149963,664.5,648.789984130859,0.132826241105795,5015.35517578125,20.9809038162231,13.3947107315063,13.0258410692215,648.230010986328,649.349993896484
"31","Kings",1507.44444444444,72.0633335113525,15.2500776714749,55.2177664438883,235.666666666667,647.788892957899,0.168560833566719,5267.90950520833,20.0450083414714,10.8200742933485,13.8341086175707,648.388895670573,647.188890245226
"32","Ventura",4627.77777777778,214.360000398424,7.62047779560089,52.4894109302097,591.555555555556,646.216661241319,0.127647766636478,4964.32720269097,21.5446544223362,15.3196968502469,29.7661202748617,645.888888888889,646.544447157118
"33","Los Angeles",5830.92592592593,272.158516495316,16.6422296806618,54.9230295993664,536.185185185185,645.537048339844,0.105541992932558,5055.67214626736,21.308835418136,14.644123978085,25.0897788206736,645.033341019242,646.040744357639
"34","Butte",1152.5,60.5166673660278,36.2658996582031,68.0162340799967,186.666666666667,645.183319091797,0.234213980535666,5776.72412109375,18.9789600372314,9.20524287223816,10.7687879403432,646.34999593099,644.016672770182
"35","San Joaquin",366,18.8016665776571,8.47960003217061,42.7235999107361,44.5,643.64165242513,0.123566059861332,4885.26806640625,19.4345026016235,13.3970000743866,18.5093673865,643.133331298828,644.149993896484
"36","Lake",445,24.6650009155273,42.8905982971191,71.4215507507324,63,641.474975585938,0.151836160570383,5762.26123046875,18.5930671691895,10.7965002059937,1.9435028731823,642.850006103516,640.100006103516
"37","Imperial",1936,92.4533348083496,19.7434999545415,63.4733657836914,375.666666666667,640.683349609375,0.166269787897666,5036.14127604167,21.270785967509,9.6771666208903,30.6432948907216,637.183339436849,644.183339436849
"38","Riverside",2848.5,139,14.1309751272202,61.7674512863159,269,640.512481689453,0.107266997918487,4904.14953613281,21.0036664009094,12.8611249923706,23.4914424419403,638.774993896484,642.249984741211
"39","Mendocino",337,16.5499992370605,21.2625007629395,60.1329002380371,26,639.300048828125,0.0771513357758522,6089.91064453125,20.3625392913818,10.0349998474121,15.4302673339844,642.700012207031,635.900024414062
"40","Kern",3108.33333333333,157.319352255927,18.3664887922781,64.3258517936424,376.074074074074,639.290742097078,0.116781150163324,5165.86324508102,19.9583692903872,11.217030454565,22.6871700253752,637.577779134115,641.003702799479
"41","Tulare",898.958333333333,45.2512503067652,18.1375708977381,69.4363746643066,91.6666666666667,638.691665649414,0.110905586431424,4852.23260498047,20.5756277243296,9.91816657781601,22.286644756794,637.245836893717,640.137502034505
"42","Monterey",3549.42857142857,168.211429050991,13.5999713284629,57.5574269975935,310,637.264282226562,0.110725379948105,5171.93701171875,20.7633773258754,13.1340428079878,37.8052604581629,638.942853655134,635.585719517299
"43","Sacramento",3511.42857142857,186.063569205148,38.0709860665458,62.9243000575474,373.714285714286,637.199994768415,0.0921312932457243,5212.46030970982,19.1249190739223,11.9875679016113,20.8644778473037,638.185721261161,636.214285714286
"44","Merced",2112,103.056366313588,22.6604819731279,70.634091463956,227.909090909091,636.25,0.136182321066206,5227.23659446023,19.9462897560813,10.0182208147916,39.0938719836148,635.227272727273,637.272732821378
"45","Fresno",504.416666666667,26.3691665728887,21.0841995080312,74.4459589322408,44.75,636.237503051758,0.104589547341069,5396.97794596354,18.8684700330098,9.26900013287862,23.7214463154475,635.66667175293,636.808329264323
